latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.125,35.1875,566.0,0,GMT,GMT

time,temperature_2m (°C),precipitation_probability (%)
2026-05-19T00:00,16.7,0
2026-05-19T01:00,16.5,0
2026-05-19T02:00,16.3,0
2026-05-19T03:00,15.9,0
2026-05-19T04:00,16.6,0
2026-05-19T05:00,17.8,0
2026-05-19T06:00,19.1,0
2026-05-19T07:00,20.7,0
2026-05-19T08:00,22.2,0
2026-05-19T09:00,23.6,0
2026-05-19T10:00,24.5,0
2026-05-19T11:00,24.6,0
2026-05-19T12:00,24.1,0
2026-05-19T13:00,23.3,0
2026-05-19T14:00,22.4,0
2026-05-19T15:00,20.9,0
2026-05-19T16:00,19.1,0
2026-05-19T17:00,17.4,0
2026-05-19T18:00,16.7,0
2026-05-19T19:00,15.9,0
2026-05-19T20:00,15.3,0
2026-05-19T21:00,15.3,0
2026-05-19T22:00,15.5,0
2026-05-19T23:00,15.2,0
2026-05-20T00:00,14.9,0
2026-05-20T01:00,14.9,0
2026-05-20T02:00,15.0,0
2026-05-20T03:00,15.7,0
2026-05-20T04:00,17.2,0
2026-05-20T05:00,20.1,0
2026-05-20T06:00,21.8,0
2026-05-20T07:00,22.8,0
2026-05-20T08:00,23.4,0
2026-05-20T09:00,23.3,0
2026-05-20T10:00,23.7,0
2026-05-20T11:00,22.3,0
2026-05-20T12:00,22.7,0
2026-05-20T13:00,19.6,0
2026-05-20T14:00,19.1,0
2026-05-20T15:00,17.6,0
2026-05-20T16:00,16.3,0
2026-05-20T17:00,15.5,0
2026-05-20T18:00,14.9,0
2026-05-20T19:00,14.7,3
2026-05-20T20:00,14.5,8
2026-05-20T21:00,14.2,20
2026-05-20T22:00,14.1,40
2026-05-20T23:00,14.1,30
2026-05-21T00:00,13.9,38
2026-05-21T01:00,13.8,40
2026-05-21T02:00,13.8,40
2026-05-21T03:00,13.7,40
2026-05-21T04:00,13.9,42
2026-05-21T05:00,14.4,44
2026-05-21T06:00,15.8,43
2026-05-21T07:00,17.2,35
